NSNT_Delta_Pre,NSNT_Delta_Tele,NSNT_Delta_Post,NSNT_Theta_Pre,NSNT_Theta_Tele,NSNT_Theta_Post,NSNT_Alpha_Pre,NSNT_Alpha_Tele,NSNT_Alpha_Post,NSNT_Beta_Pre,NSNT_Beta_Tele,NSNT_Beta_Post,NSNT_Gamma_Pre,NSNT_Gamma_Tele,NSNT_Gamma_Post,NSFT_Delta_Pre,NSFT_Delta_Tele,NSFT_Delta_Post,NSFT_Theta_Pre,NSFT_Theta_Tele,NSFT_Theta_Post,NSFT_Alpha_Pre,NSFT_Alpha_Tele,NSFT_Alpha_Post,NSFT_Beta_Pre,NSFT_Beta_Tele,NSFT_Beta_Post,NSFT_Gamma_Pre,NSFT_Gamma_Tele,NSFT_Gamma_Post,FSNT_Delta_Pre,FSNT_Delta_Tele,FSNT_Delta_Post,FSNT_Theta_Pre,FSNT_Theta_Tele,FSNT_Theta_Post,FSNT_Alpha_Pre,FSNT_Alpha_Tele,FSNT_Alpha_Post,FSNT_Beta_Pre,FSNT_Beta_Tele,FSNT_Beta_Post,FSNT_Gamma_Pre,FSNT_Gamma_Tele,FSNT_Gamma_Post,FSFT_Delta_Pre,FSFT_Delta_Tele,FSFT_Delta_Post,FSFT_Theta_Pre,FSFT_Theta_Tele,FSFT_Theta_Post,FSFT_Alpha_Pre,FSFT_Alpha_Tele,FSFT_Alpha_Post,FSFT_Beta_Pre,FSFT_Beta_Tele,FSFT_Beta_Post,FSFT_Gamma_Pre,FSFT_Gamma_Tele,FSFT_Gamma_Post
0.045492,0.057949,0.035293,0.51361,0.51294,0.53281,0.38391,0.47335,0.40325,0.31506,0.35874,0.31854,0.12426,0.14936,0.13815,0.037941,0.025834,0.031837,0.55534,0.52787,0.41752,0.36564,0.44533,0.44276,0.3863,0.30726,0.30773,0.15757,0.14399,0.13503,0.026505,0.034694,0.056737,0.52279,0.47122,0.45881,0.42513,0.414,0.45519,0.2899,0.3108,0.31794,0.11519,0.14655,0.15767,0.062554,0.032778,0.060647,0.58915,0.47674,0.60245,0.52376,0.45131,0.55691,0.34157,0.33031,0.37531,0.14654,0.13925,0.16555
0.034356,0.072164,0.058953,0.5083,0.48661,0.48933,0.50836,0.48979,0.43817,0.35808,0.39162,0.33339,0.13867,0.152,0.13009,0.053259,0.026946,0.036874,0.49772,0.50239,0.42661,0.37484,0.45028,0.46934,0.36953,0.32554,0.28721,0.17148,0.14209,0.14809,0.035532,0.040582,0.039748,0.46986,0.43809,0.4195,0.37474,0.45656,0.45388,0.32565,0.32579,0.38878,0.13027,0.15142,0.13158,0.061939,0.027362,0.044086,0.53479,0.47184,0.59418,0.52661,0.46584,0.58904,0.30133,0.37715,0.42267,0.14443,0.13941,0.17481
0.019409,0.049129,0.0081675,0.18018,0.3098,0.25688,0.50262,0.50952,0.49474,0.504,0.57452,0.52043,0.21357,0.21131,0.20387,0.026096,0.037574,0.066518,0.22046,0.23082,0.32069,0.46753,0.50996,0.50938,0.54489,0.57114,0.62792,0.23591,0.2184,0.23331,0.0056424,0.025394,0.05075,0.11761,0.14932,0.25616,0.43073,0.38211,0.52746,0.50365,0.50628,0.56264,0.21254,0.22018,0.20171,0.0085901,0.009611,0.0049105,0.13481,0.16399,0.16198,0.34399,0.35748,0.33676,0.53109,0.52759,0.44374,0.21662,0.2026,0.21316
0.035767,0.055397,0.042686,0.055634,0.13352,0.099682,0.16888,0.24646,0.20664,0.24666,0.28809,0.25416,0.11383,0.139,0.14695,0.029532,0.044704,0.022831,0.10856,0.12005,0.06303,0.20402,0.18267,0.15183,0.30335,0.28151,0.28601,0.13272,0.14006,0.13135,0.030454,0.039319,0.048025,0.040527,0.074816,0.11018,0.17109,0.1035,0.13777,0.25036,0.27932,0.27851,0.12994,0.15047,0.12757,0.034957,0.034588,0.01388,0.11332,0.075089,0.055325,0.093994,0.16249,0.13054,0.20417,0.27821,0.19674,0.12123,0.13141,0.14456
0.040378,0.052433,0.10612,0.17615,0.19649,0.20389,0.14917,0.22162,0.19777,0.19297,0.23136,0.25453,0.27364,0.2815,0.30658,0.083912,0.05138,0.021599,0.26766,0.2244,0.26472,0.21379,0.15694,0.19749,0.28063,0.23015,0.18496,0.31305,0.28829,0.27274,0.031366,0.047437,0.073059,0.14687,0.17414,0.14618,0.20892,0.17498,0.20724,0.23227,0.25447,0.25399,0.29639,0.27848,0.30194,0.073459,0.051239,0.0070486,0.25704,0.21161,0.15236,0.1285,0.24281,0.16202,0.19202,0.28116,0.25466,0.29943,0.2797,0.28269
0.013656,0.043174,0.046063,0.14907,0.25578,0.24125,0.19245,0.19823,0.20378,0.17254,0.1928,0.18487,0.079102,0.084281,0.053221,0.062077,0.069449,0.055556,0.15864,0.22771,0.20874,0.19175,0.19375,0.15686,0.15469,0.16341,0.13442,0.08869,0.074331,0.11398,0.051307,0.043859,0.037121,0.13358,0.18071,0.068439,0.17206,0.15752,0.13801,0.22626,0.1782,0.068477,0.074649,0.099684,0.081448,0.052108,0.041929,0.029496,0.10406,0.17006,0.23152,0.25466,0.13402,0.41931,0.11483,0.16942,0.37903,0.053226,0.090895,0.14315
0.0076265,0.05982,0.035792,0.19587,0.2465,0.21113,0.21547,0.18338,0.19538,0.20117,0.17236,0.16415,0.09564,0.080034,0.063407,0.033333,0.052533,0.054829,0.20903,0.24037,0.157,0.19443,0.17598,0.30664,0.12041,0.1706,0.22941,0.095934,0.080846,0.08066,0.043253,0.062075,0.091001,0.15263,0.17974,0.20192,0.16132,0.13727,0.15083,0.1877,0.14093,0.19789,0.075332,0.095338,0.14439,0.042643,0.038538,0.030585,0.10472,0.19297,0.14235,0.21469,0.18446,0.2187,0.16798,0.18928,0.25339,0.077777,0.077754,0.077334
0.014292,0.071237,0.068939,0.32056,0.35687,0.2598,0.19441,0.15854,0.14426,0.12123,0.11683,0.033613,0.053648,0.048571,0.043799,0.10115,0.069103,0.13399,0.4834,0.30664,0.18546,0.17207,0.22164,0.22304,0.10346,0.1137,0.16623,0.055504,0.054392,0.060408,0.044813,0.064973,0.1453,0.21291,0.30284,0.34747,0.1179,0.18907,0.14065,0.11883,0.14498,0.25505,0.05141,0.063145,0.038873,0.039572,0.059776,0.036618,0.17787,0.29608,0.36011,0.13274,0.22952,0.098416,0.082873,0.15924,0.099397,0.06209,0.057929,0.036748
0.032397,0.06962,0.059757,0.14355,0.23209,0.15266,0.097377,0.12132,0.14286,0.2784,0.25163,0.21317,0.083693,0.068482,0.10861,0.031131,0.055257,0.072016,0.20173,0.15486,0.17919,0.1748,0.093731,0.027778,0.22975,0.27962,0.44553,0.099902,0.086943,0.051792,0.055681,0.041735,0.039299,0.18066,0.20625,0.08371,0.08759,0.18774,0.32692,0.28208,0.2746,0.23922,0.095956,0.097535,0.18867,0.038111,0.10319,0.019859,0.18194,0.18456,0.18646,0.23836,0.17896,0.53469,0.23693,0.27075,0.21222,0.05423,0.070466,0.042986
0.032537,0.051412,0.051976,0.13128,0.2437,0.16947,0.18241,0.13393,0.068627,0.23036,0.22719,0.15322,0.10241,0.10012,0.095747,0.031879,0.061812,0.072985,0.28142,0.18766,0.14951,0.21421,0.1154,0.10948,0.25492,0.2967,0.36416,0.11509,0.098028,0.11572,0.048761,0.035295,0.028574,0.18829,0.23753,0.086538,0.12624,0.12565,0.097285,0.35859,0.27796,0.26048,0.12338,0.11164,0.18052,0.070087,0.088569,0.023714,0.20989,0.23677,0.084842,0.24617,0.099673,0.43363,0.27928,0.27333,0.30905,0.093422,0.091469,0.030783
