Electrode,TrialType,FreqBand,TimePoint,Power
1,NSNT,deltaBand,Pre,1988044.0659
1,NSNT,thetaBand,Pre,3383.8076
1,NSNT,alphaBand,Pre,79.3343
1,NSNT,betaBand,Pre,1.7115
1,NSNT,gammaBand,Pre,0.0011772
2,NSNT,deltaBand,Pre,1895514.1288
2,NSNT,thetaBand,Pre,3634.4593
2,NSNT,alphaBand,Pre,98.687
2,NSNT,betaBand,Pre,2.2249
2,NSNT,gammaBand,Pre,0.0013887
3,NSNT,deltaBand,Pre,3382323.094
3,NSNT,thetaBand,Pre,1832.1471
3,NSNT,alphaBand,Pre,74.0011
3,NSNT,betaBand,Pre,4.6821
3,NSNT,gammaBand,Pre,0.0041556
4,NSNT,deltaBand,Pre,29194464.0467
4,NSNT,thetaBand,Pre,2252.91
4,NSNT,alphaBand,Pre,34.6955
4,NSNT,betaBand,Pre,1.2184
4,NSNT,gammaBand,Pre,0.0008315
5,NSNT,deltaBand,Pre,7566002.1077
5,NSNT,thetaBand,Pre,4727.4086
5,NSNT,alphaBand,Pre,73.8518
5,NSNT,betaBand,Pre,3.8395
5,NSNT,gammaBand,Pre,0.0054799
1,NSNT,deltaBand,Tele,2468330.2428
1,NSNT,thetaBand,Tele,3854.1022
1,NSNT,alphaBand,Tele,82.8433
1,NSNT,betaBand,Tele,2.1692
1,NSNT,gammaBand,Tele,0.0016104
2,NSNT,deltaBand,Tele,2736979.1779
2,NSNT,thetaBand,Tele,4013.0606
2,NSNT,alphaBand,Tele,95.541
2,NSNT,betaBand,Tele,3.0394
2,NSNT,gammaBand,Tele,0.0025366
3,NSNT,deltaBand,Tele,3562543.8303
3,NSNT,thetaBand,Tele,3629.859
3,NSNT,alphaBand,Tele,102.9596
3,NSNT,betaBand,Tele,7.1738
3,NSNT,gammaBand,Tele,0.0048794
4,NSNT,deltaBand,Tele,32781072.0462
4,NSNT,thetaBand,Tele,3005.4838
4,NSNT,alphaBand,Tele,46.1434
4,NSNT,betaBand,Tele,1.5648
4,NSNT,gammaBand,Tele,0.0009147
5,NSNT,deltaBand,Tele,6135244.6652
5,NSNT,thetaBand,Tele,4160.6617
5,NSNT,alphaBand,Tele,87.4058
5,NSNT,betaBand,Tele,3.956
5,NSNT,gammaBand,Tele,0.0052702
1,NSNT,deltaBand,Post,3058983.4392
1,NSNT,thetaBand,Post,4306.5037
1,NSNT,alphaBand,Post,81.9496
1,NSNT,betaBand,Post,2.4425
1,NSNT,gammaBand,Post,0.0013143
2,NSNT,deltaBand,Post,3132922.6468
2,NSNT,thetaBand,Post,4752.3425
2,NSNT,alphaBand,Post,104.5447
2,NSNT,betaBand,Post,3.4156
2,NSNT,gammaBand,Post,0.0017483
3,NSNT,deltaBand,Post,2077728.5613
3,NSNT,thetaBand,Post,4999.7576
3,NSNT,alphaBand,Post,156.7314
3,NSNT,betaBand,Post,7.6761
3,NSNT,gammaBand,Post,0.0059588
4,NSNT,deltaBand,Post,25820460.4048
4,NSNT,thetaBand,Post,2228.5867
4,NSNT,alphaBand,Post,40.6993
4,NSNT,betaBand,Post,1.4991
4,NSNT,gammaBand,Post,0.00093436
